,id,co2
0,02,2644805.351
1,Alabama,78643036.919
2,05,39535585.29
3,04,60422378.359
4,06,54587168.903000005
5,08,42616654.253
6,09,8987821.627999999
7,11,40046.513999999996
8,10,3961771.727
9,12,125753313.343
10,13,69106579.22399999
11,15,6781193.1389999995
12,19,38055321.655999996
13,16,1107906.033
14,17,99999815.004
15,18,113232514.534
16,20,35029736.454
17,21,94007833.114
18,22,50474153.179
19,25,13778384.035
20,24,21940310.507
21,23,2292308.3619999997
22,26,67940295.658
23,27,34198306.05
24,29,76592408.913
25,28,27209854.058000002
26,30,19566329.31
27,37,61856262.677
28,38,32978634.418
29,31,27467790.656
30,33,3691522.0089999996
31,34,18512129.099
32,35,27162310.411999997
33,32,17268190.305999998
34,36,34851025.381
35,39,107527606.05
36,40,47430123.00399999
37,41,9317739.159
38,42,109308570.704
39,44,2785267.83
40,45,35581834.945
41,46,3399901.425
42,47,42356033.255
43,48,259515373.16799998
44,49,38780765.838
45,51,33907673.103
46,50,66888.848
47,53,13039063.387
48,55,46199117.555
49,54,79396883.002
50,56,49643934.328999996
